revenue,abgroup
129.51,control
4.61,test
11.53,test
474.35,test
2.29,test
20.76,test
18.45,test
69.13,control
0.58,test
16.15,control
492.68,control
2.29,test
233.54,test
2.29,test
16.15,control
4.61,control
13.82,test
11.53,control
18.47,control
2.29,test
50.82,test
113.29,test
4.61,test
0.58,test
4.61,control
4.61,control
2.29,control
13.84,control
53.11,test
11.55,test
11.53,control
2.29,control
613.14,control
6.92,control
6.92,test
256.68,control
4.61,test
16.13,test
2.29,test
4.61,control
2.29,control
4.61,control
4.61,control
48.49,control
6.92,test
0.58,control
2.29,control
11.53,test
6.9,test
117.89,control
2.29,control
16.13,control
6.92,control
0.58,control
2.29,control
87.85,test
2.29,control
2.29,test
2.29,test
2.29,test
0.58,test
23.05,control
11.53,control
67.63,control
14.42,control
2.29,control
18.47,test
2.29,control
18.42,control
66.95,control
50.8,control
18.42,control
9.81,control
2.29,test
2.29,control
11.53,test
11.55,test
0.58,test
2.29,test
6.92,control
2.29,control
2.29,control
11.55,control
4.61,control
2.29,control
6.9,test
0.58,test
11.55,test
166.49,test
11.5,control
2.29,control
0.58,control
0.58,control
0.58,control
30.04,test
6.92,control
25.39,test
11.55,control
27.7,control
0.58,control
29.99,control
160.04,test
2.29,test
0.58,test
2.29,control
237.98,control
490.22,control
2.29,control
23.1,test
0.58,test
228.98,test
0.58,test
0.58,control
346.83,test
210.42,test
2.29,test
2.29,test
2.29,control
2.29,control
16.15,test
4.61,test
18.49,test
2.29,test
0.58,control
2.29,test
13.84,test
2.29,control
20.76,control
25.39,control
6.9,test
20.78,control
34.65,test
4.61,test
18.42,test
16.13,test
2.29,test
6.9,test
263.79,test
0.58,test
4.61,test
11.5,test
11.55,test
2.29,control
34.67,control
0.58,control
4.61,control
16.15,control
16.13,control
2.29,test
4.61,test
0.58,test
4.58,control
4.61,test
11.53,test
27.7,test
2.29,test
2.29,control
11.53,test
13.82,test
0.58,control
2.29,test
0.58,control
25.34,control
11.53,test
71.65,control
6.92,control
2.29,test
60.06,test
36.96,control
20.78,control
0.58,test
9.23,test
2.29,control
0.58,test
9.23,control
2.29,test
11.53,control
6.92,test
6.92,control
11.53,control
2.29,control
2.29,test
30.04,control
2.29,control
87.78,control
16.15,test
508.76,test
11.53,control
2.29,test
85.42,test
60.03,test
9.21,control
2.29,test
48.55,control
0.58,test
27.7,control
0.58,control
0.58,test
6.92,test
2.29,control
4.58,control
4.61,test
14.42,control
11.53,test
0.58,control
11.53,test
4.61,test
0.58,control
6.92,test
2.29,test
0.58,test
0.58,control
11.53,control
25.37,control
4.61,control
9.21,control
242.54,test
23.03,control
6.92,control
0.58,test
16.15,control
2.29,control
157.21,test
27.63,control
6.92,control
2.29,test
6.92,test
136.41,test
2.29,control
2.29,test
13.84,control
0.58,control
4.61,test
20.74,control
2.29,control
23.03,control
6.92,test
2.29,control
0.58,test
2.29,control
13.82,test
30.02,control
2.29,test
4.61,control
4.61,test
4.61,control
6.9,test
0.58,test
0.58,test
6.9,control
41.61,control
2.29,control
11.55,test
83.25,test
4.61,test
138.74,control
694.16,test
101.74,test
2.29,control
0.58,control
4.61,test
4.61,test
2.29,test
36.94,control
6.92,control
127.2,test
16.15,test
48.53,control
4.61,control
9.21,control
4.61,test
296.0,control
2.29,control
0.58,test
6.92,control
6.92,control
11.55,control
136.25,control
0.58,test
39.27,test
266.08,test
0.58,control
23.12,control
145.55,control
50.87,control
0.58,control
13.84,control
48.51,test
16.13,test
4.61,test
2845.25,control
2.29,test
48.44,control
53.18,test
2.29,control
2.29,control
136.36,test
9.81,control
2.29,test
16.15,test
9.21,test
78.5,test
11.55,test
106.14,test
0.58,control
6.92,control
4.61,control
69.36,control
0.58,test
0.58,test
0.58,control
11.55,test
80.93,control
0.58,control
2.29,control
6.92,test
66.98,test
2.29,control
2.29,control
245.11,control
2.29,test
2.29,test
6.92,control
66.91,control
0.58,control
2.29,test
6.92,test
2.29,control
0.58,control
16.11,test
2.29,control
13.82,test
2.29,control
2.29,test
4.58,control
0.58,control
9.81,control
43.88,control
92.53,control
2.29,control
57.72,control
18.42,test
2.29,control
2.29,control
2.29,control
11.55,control
39.16,control
9.81,test
0.58,control
2.29,control
13.82,test
2.29,test
0.58,control
11.53,test
2.29,control
0.58,control
6.92,control
0.58,control
1547.3,test
0.58,control
23.05,control
0.58,control
9.21,test
196.58,test
0.58,test
0.58,test
2.29,test
2.29,control
113.33,control
613.14,test
11.55,test
0.58,control
0.58,control
2.29,test
25.39,test
11.5,test
2.29,test
6.92,test
4.61,control
90.0,control
18.47,control
11.5,control
0.58,control
0.58,control
2.29,control
25.39,test
166.35,test
2.29,test
2.29,control
92.46,control
0.58,test
2.29,test
478.21,control
252.03,test
13.84,control
16.13,control
115.6,test
2.29,control
2.29,test
2.29,test
62.37,test
13.82,test
6.92,control
80.93,test
4.61,test
2.29,control
13.82,test
11.55,control
53.16,test
6.92,test
333.13,control
16.13,control
4.61,test
92.09,test
25.37,test
4.61,control
16.15,test
309.84,test
6.9,control
2.29,control
0.58,control
4.61,test
23.07,control
2.29,test
39.27,control
13.82,control
2.29,test
57.65,test
9.21,control
6.92,control
6.92,test
13.82,control
18.45,test
367.73,test
6.9,test
11.53,control
113.15,test
0.58,control
11.55,control
2.29,control
41.61,test
4.61,control
2.29,test
6.92,test
2.29,test
0.58,control
13.84,control
2.29,control
2.29,test
4.61,control
4.61,control
0.58,control
60.06,control
60.1,control
13.84,control
80.86,control
9.21,test
201.19,test
416.17,test
11.5,test
9.23,control
13.82,test
0.58,control
2.29,control
9.21,test
2.29,test
2.29,control
34.67,test
2.29,control
80.96,control
4.61,control
27.7,test
9.81,test
2.29,test
4.61,test
6.92,test
2.29,test
20.78,control
13.82,test
0.58,control
4.61,test
0.58,control
53.16,control
18.47,test
62.3,control
69.29,control
11.53,control
6.92,control
4.58,control
4.61,test
4.61,control
0.58,test
29.97,test
9.21,control
0.58,control
309.66,control
106.18,control
27.66,test
2.29,control
0.58,control
27.68,control
16.15,control
9.21,test
2.29,control
6.92,test
25.37,test
4.61,test
4.61,test
2.29,test
23.1,control
2.29,control
27.7,control
2.29,test
11.53,control
0.58,control
6.9,control
2.29,control
2.29,control
13.82,control
0.58,test
6.92,test
2.29,control
4.61,control
111.0,control
0.58,test
13.84,test
2.29,test
11.53,control
2.29,test
2.29,test
2.29,control
4.61,control
2.29,control
13.84,test
13.84,control
50.82,control
4.61,control
2.29,test
2.29,control
64.66,test
2.29,test
2.29,test
13.84,test
2.29,test
9.23,test
4.61,test
4.61,control
2.29,test
2.29,control
62.42,control
11.53,control
11.53,test
4.61,test
11.55,test
485.85,control
9.81,control
23.12,test
9.21,control
0.58,control
4.61,control
2.29,test
25.37,test
11.55,control
62.42,test
11.53,control
675.28,control
25.99,test
374.46,test
2.29,test
6.92,test
7.5,test
78.39,control
0.58,test
0.58,test
2.29,control
46.12,test
48.51,control
0.58,control
4.61,control
2.29,control
9.21,control
9.23,test
4.61,test
53.04,test
203.11,test
6.92,test
13.82,control
2.29,test
78.64,test
39.25,control
6.92,control
2.29,test
23.1,test
53.14,test
2.29,control
2.29,test
16.73,test
9.81,test
0.58,control
4.61,control
2.29,control
2.29,test
50.71,control
32.33,control
164.02,control
2.29,control
6.9,test
0.58,test
6.9,control
4.58,control
2.29,control
4.58,test
2.29,control
0.58,control
11.55,test
2.29,test
11.53,control
4.61,test
2.29,test
328.36,control
11.55,control
4.61,control
13.82,test
6.9,test
2.29,control
6.9,control
2.29,control
0.58,test
0.58,control
29.99,control
0.58,test
4.61,test
36.98,control
25.41,control
48.49,test
4.61,test
2.29,control
0.58,control
2.29,test
0.58,control
902.04,test
6.92,test
14.42,control
4.58,test
4.61,test
892.09,control
94.77,control
2.29,test
11.55,control
30.02,control
2.29,control
0.58,control
2.29,control
23.07,control
2.29,control
0.58,test
4.61,control
0.58,test
80.91,test
9.81,control
1177.01,test
30.04,control
9.81,test
9.81,control
145.73,test
0.58,control
0.58,test
6.92,test
18.42,control
2.29,control
2.29,test
2.29,test
13.82,control
4.61,test
34.62,control
2.29,control
106.3,control
4.58,test
0.58,control
20.76,test
53.14,control
11.53,control
23.12,control
4.61,test
11.53,control
2.29,control
4.61,test
32.31,control
201.21,test
4.61,test
0.58,test
0.58,control
0.58,test
2.29,control
0.58,test
46.26,control
85.4,test
2.29,control
92.43,test
36.96,control
9.21,test
0.58,test
18.47,test
4.61,control
2.29,control
13.82,test
2122.53,control
2.29,control
46.19,control
18.45,test
11.53,test
30.04,test
50.82,control
48.46,test
6.9,control
4.61,control
4.61,test
13.82,test
11.55,control
2.29,control
0.58,test
9.21,test
2.29,control
29.99,control
0.58,test
2.29,test
53.09,control
23.1,test
6.92,test
2.29,control
4.58,test
0.58,control
11.53,test
2.29,control
2.29,test
2.29,control
2.29,test
4.61,control
0.58,control
4.61,test
6.92,test
9.21,control
2.29,test
2.29,test
20.74,control
6.9,test
2.29,test
2.29,test
184.92,control
32.26,control
20.76,control
6.92,test
46.08,test
184.96,test
25.39,control
25.39,control
16.15,test
9.21,control
2.29,control
0.58,test
4.61,test
2.29,test
29.99,control
6.92,control
16.15,test
23.07,control
4.61,control
2.29,control
60.03,control
2.29,control
4.61,control
2.29,control
6.92,control
13.82,test
11.53,control
25.39,control
154.74,test
53.16,control
29.97,control
2.29,test
0.58,control
4.58,test
2.29,test
0.58,control
16.15,test
4.61,test
6.92,test
53.16,test
2.29,test
0.58,test
23.1,test
6.92,test
4.61,control
4.61,control
16.11,test
4.61,test
4.61,test
6.92,test
1.16,test
16.13,test
9.81,test
9.81,test
6.92,control
6.92,control
2.29,control
0.58,test
6.9,test
0.58,test
0.58,control
0.58,test
2.29,test
11.53,test
50.8,control
11.5,control
2.29,test
110.79,test
2.29,test
0.58,test
18.47,control
0.58,control
2.29,control
6.92,test
2.29,test
2.29,control
0.58,control
0.58,control
2.29,control
185.12,test
76.23,control
6.92,control
4.61,test
99.42,control
0.58,control
4.61,test
13.82,control
2.29,control
111.02,control
2.29,control
11.5,test
4.61,test
23.07,test
2.29,test
6.9,control
2.29,test
6.92,test
6.9,test
4.58,test
2.29,test
2.29,control
39.25,test
4.61,test
13.82,control
16.15,control
41.54,test
0.58,test
2.29,control
90.19,test
13.84,test
2.29,control
4.61,control
27.66,control
87.71,test
48.42,control
6.92,control
2.29,test
4.58,test
2.29,control
6.9,control
30.02,test
23.12,test
9.21,control
9.79,test
4.61,test
4.61,test
2.29,test
2.29,test
11.55,control
62.28,control
87.74,control
6.9,test
2.29,test
2.29,control
6.92,test
6.9,control
46.26,test
9.21,test
25.39,control
2.29,test
32.29,control
2.29,control
69.36,control
2.29,test
131.59,test
25.39,control
16.13,test
242.75,test
2.29,test
11.53,test
0.58,test
2.29,control
106.04,control
18.47,control
16.15,control
4.61,control
2.29,control
13.82,control
0.58,test
164.11,control
20.76,test
226.6,test
13.84,test
41.5,test
645.52,control
4.61,control
444.15,control
6.9,control
46.26,control
6.92,test
231.41,control
20.69,control
30.02,control
62.35,test
2.29,control
9.21,test
2.29,control
46.22,test
2.29,control
55.43,control
0.58,test
6.92,test
11.55,test
0.58,control
9.21,control
6.9,test
6.92,control
6.92,control
6.9,control
0.58,test
191.74,control
2.29,control
6.92,control
4.61,control
2.29,test
2.29,control
0.58,test
20.78,test
11.53,control
6.9,control
20.74,test
2.29,test
25.37,control
18.42,test
4.61,control
2.29,test
4.61,test
2.29,control
2.29,control
2.29,control
11.55,control
27.68,test
4.61,control
2.29,test
203.52,test
9.23,test
157.14,test
2.29,control
4.61,control
20.74,control
57.74,control
0.58,control
16.69,control
0.58,test
11.5,test
23.07,control
6.92,test
4.61,control
11.55,test
16.13,test
2.29,control
76.12,control
20.76,control
20.76,test
184.78,test
6.92,control
46.15,control
87.76,test
6.9,control
20.76,test
2.29,test
2.29,control
4.61,test
46.22,control
6.92,test
23.1,control
9.21,control
0.58,test
2.29,control
4.61,test
9.79,control
4.58,control
23.07,test
11.53,test
73.97,control
2.29,control
0.58,test
6.9,control
2.29,control
4.61,control
2.29,control
69.36,test
23.07,control
2.29,control
11.53,test
351.39,control
16.15,test
4.61,control
11.53,test
20.76,test
11.55,test
2.29,test
703.03,control
242.61,test
2.29,control
2.29,test
11.53,control
0.58,control
2.29,test
34.62,test
34.69,control
30.02,control
2.29,test
0.58,control
136.45,test
2.29,test
11.53,test
92.41,test
2.29,control
9.21,control
11.5,control
16.13,test
39.25,control
2.29,test
104.05,control
4.61,control
90.19,test
2.29,test
53.18,test
101.55,test
32.26,test
20.76,control
83.25,control
286.65,test
9.23,test
6.92,control
4.61,control
2.29,control
16.15,control
11.53,control
9.21,control
2.29,test
2.29,control
2.29,control
2.29,control
2.29,control
18.47,test
6.92,test
6.92,control
13.84,control
2.29,control
6.92,test
196.44,test
12.13,test
4.61,test
11.53,control
4.61,control
13.82,test
6.92,test
2.29,test
4.61,control
46.26,control
115.44,test
4.61,control
4.61,control
2.29,control
2.29,control
6.92,control
2.29,control
13.84,control
0.58,test
2.29,test
0.58,control
4.61,control
2.29,test
6.92,control
161.91,test
6.92,test
46.26,test
0.58,test
18.47,test
0.58,test
2.29,control
2.29,test
34.62,control
11.55,control
46.26,control
11.55,control
6.92,control
4.61,test
180.36,test
46.26,test
5.18,control
11.53,test
23.07,control
0.58,test
6.9,test
2.29,control
0.58,test
2.29,control
2.29,test
20.74,test
76.28,test
1.16,test
6.92,control
4.61,control
2.29,control
295.94,test
92.53,test
2.29,test
647.9,control
